Date,USD,CRUDE,GOLD
17-Nov-17,65.01499961,3639.73186,2951.785535
20-Nov-17,65.10000044,3672.320039,2958.807482
21-Nov-17,64.88000119,3686.78801,2937.703069
22-Nov-17,64.88000119,3748.978703,2943.366682
23-Nov-17,64.57000124,3766.479905,2947.374626
24-Nov-17,64.67999894,3797.017759,2944.666767
27-Nov-17,64.47700189,3759.349694,2949.91342
28-Nov-17,64.40999798,3726.253766,2944.198604
29-Nov-17,64.35999998,3713.719368,2937.599511
30-Nov-17,64.49000018,3710.878396,2923.805625
01-Dec-17,64.52000023,3760.902126,2928.883773
04-Dec-17,64.38000064,3723.229751,2914.763569
05-Dec-17,64.35999998,3703.556774,2905.000668
06-Dec-17,64.5300009,3669.756831,2898.3491
07-Dec-17,64.57000124,3634.378425,2877.764092
08-Dec-17,64.47999943,3690.855158,2854.500405
